Country,happiness_score,gdp_per_capita,family,health,freedom,generosity,government_trust,dystopia_residual,continent,Year,social_support,cpi_score
Finland,7.808700085,1.285189509,0.0,0.961271405,0.66231674,0.159670442,0.477857262,2.762835026,Europe,2020,1.499525905,85
Denmark,7.645599842,1.326948524,0.0,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,Europe,2020,1.503449202,88
Switzerland,7.559899807,1.39077425,0.0,1.040533185,0.62895447,0.269055754,0.407945901,2.35026741,Europe,2020,1.472403407,85
Iceland,7.504499912,1.326501608,0.0,1.000843406,0.661980748,0.362330228,0.144540772,2.460688114,Europe,2020,1.547567487,75
Norway,7.487999916,1.42420733,0.0,1.008071899,0.670200884,0.287985086,0.434100568,2.168266296,Europe,2020,1.495172501,84
Netherlands,7.448900223,1.338946342,0.0,0.975675344,0.61362648,0.336317569,0.368569762,2.352117062,Europe,2020,1.463645935,82
Sweden,7.353499889,1.322235227,0.0,0.986470461,0.650297701,0.272827893,0.442066371,2.246299267,Europe,2020,1.433347702,85
New Zealand,7.299600124,1.242317915,0.0,1.008138299,0.646789908,0.325726211,0.461268276,2.128108025,Australia,2020,1.48721838,88
Austria,7.294199944,1.317285538,0.0,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,Europe,2020,1.437444925,76
Luxembourg,7.237500191,1.536676049,0.0,0.986442685,0.610137045,0.19595392,0.367041469,2.153700352,Europe,2020,1.387528419,80
Canada,7.23210001,1.301647663,0.0,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,North-America,2020,1.435391903,77
Australia,7.222799778,1.310396433,0.0,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,Australia,2020,1.477146268,77
England,7.164500237,1.273061037,0.0,0.97570008,0.525168657,0.373433441,0.322601646,2.236721992,Europe,2020,1.457844973,77
Israel,7.128600121,1.216463685,0.0,1.008052945,0.420699477,0.266861796,0.09989845,2.713358402,Asia,2020,1.403256774,60
Costa Rica,7.121399879,0.981107712,0.0,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,South-America,2020,1.374853611,57
Ireland,7.093699932,1.446886778,0.0,0.975670695,0.587779939,0.295426995,0.373433262,1.943878174,Europe,2020,1.470596433,72
Germany,7.075799942,1.314184546,0.0,0.972114801,0.564274132,0.252037704,0.309362292,2.295249462,Europe,2020,1.368543744,80
USA,6.939599991,1.37398684,0.0,0.831618011,0.534608245,0.298143059,0.152284741,2.344124794,North-America,2020,1.404786706,67
Belgium,6.863500118,1.295842767,0.0,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,Europe,2020,1.398677588,76
United Arab Emirates,6.790800095,1.431086421,0.0,0.787814438,0.652936101,0.28065598,0.220213518,2.166965961,Asia,2020,1.251170993,71
Malta,6.772799969,1.252513289,0.0,0.972042024,0.633239031,0.341180831,0.178864077,1.952012062,Europe,2020,1.442956924,53
France,6.663799763,1.268129349,0.0,1.029714227,0.514050901,0.112607703,0.227303237,2.053198338,Europe,2020,1.458839178,69
Mexico,6.465000153,1.024387479,0.0,0.831601024,0.553892553,0.083094485,0.083133668,2.662540197,North-America,2020,1.226333499,31
Uruguay,6.440100193,1.071000457,0.0,0.856928885,0.59426707,0.132143691,0.193425074,2.167276382,South-America,2020,1.425081134,71
Saudi Arabia,6.406499863,1.334328532,0.0,0.759818137,0.548477471,0.087440684,0.163322315,2.203118801,Asia,2020,1.309950113,53
Spain,6.400899887,1.230535269,0.0,1.051343083,0.425983816,0.16530548,0.109579779,1.997088432,Europe,2020,1.421099186,62
Guatemala,6.398900032,0.753815711,0.0,0.705952585,0.613146722,0.170611665,0.0983603,2.882723093,South-America,2020,1.174267054,25
Italy,6.38740015,1.236396074,0.0,1.022504926,0.321305573,0.170266211,0.040145598,2.249505997,Europe,2020,1.347296,53
Singapore,6.377099991,1.519580126,0.0,1.137814283,0.635317206,0.218770906,0.533162236,0.937031746,Asia,2020,1.39545691,85
Brazil,6.375599861,0.952679873,0.0,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,South-America,2020,1.363464117,38
Slovenia,6.363399982,1.208652496,0.0,0.932548046,0.646700144,0.145701498,0.076516323,1.888586521,Europe,2020,1.464677691,60
El Salvador,6.34829998,0.748940408,0.0,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,South-America,2020,1.149397612,36
Kosovo,6.325200081,0.840481341,0.0,0.672709167,0.557280421,0.325286865,0.008559024,2.736902714,Europe,2020,1.183962822,36
Panama,6.304800034,1.097667813,0.0,0.878546536,0.57984978,0.097207308,0.054230526,2.221176147,South-America,2020,1.376149297,35
Slovakia,6.280600071,1.194837689,0.0,0.853465259,0.423542529,0.116729774,0.011291441,2.256422043,Europe,2020,1.424331188,49
Uzbekistan,6.257599831,0.696652949,0.0,0.716703713,0.693270326,0.363311023,0.280260265,2.073346615,Asia,2020,1.434020042,26
Chile,6.228499889,1.096992493,0.0,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,South-America,2020,1.323286891,67
Bahrain,6.227300167,1.296692252,0.0,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,Asia,2020,1.31532371,42
Lithuania,6.215499878,1.193559647,0.0,0.795421183,0.42046079,0.053691041,0.081350274,2.238146067,Europe,2020,1.432865739,60
Poland,6.186299801,1.16922915,0.0,0.868038476,0.557903528,0.063374244,0.160541251,2.056797981,Europe,2020,1.310399771,56
Colombia,6.163400173,0.93220371,0.0,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,South-America,2020,1.33445096,39
Cyprus,6.15899992,1.21279943,0.0,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805,Asia,2020,1.149170756,57
Nicaragua,6.13710022,0.620033145,0.0,0.803093255,0.560117304,0.212871477,0.174084574,2.496081114,South-America,2020,1.27081275,22
Romania,6.123700142,1.120401621,0.0,0.79229486,0.534852326,0.068181619,0.000829569,2.412749767,Europe,2020,1.1944381,44
Kuwait,6.102099895,1.424833655,0.0,0.776468933,0.570261419,0.132751092,0.112814933,1.840167999,Asia,2020,1.244779825,42
Mauritius,6.101299763,1.07366395,0.0,0.763389409,0.590838134,0.186894551,0.084088229,2.006720543,Africa,2020,1.395666838,53
Kazakhstan,6.057899952,1.122594237,0.0,0.698788941,0.497432142,0.153713793,0.110463686,2.021602631,Asia,2020,1.453267694,38
Estonia,6.021800041,1.192441225,0.0,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,Europe,2020,1.453232527,75
Philippines,6.006000042,0.775120676,0.0,0.602189481,0.621915162,0.129260212,0.130385727,2.501741886,Asia,2020,1.245381713,34
Hungary,6.000400066,1.164307117,0.0,0.806793869,0.386401802,0.070491239,0.027548173,2.121845722,Europe,2020,1.423009396,44
Thailand,5.998799801,1.007029295,0.0,0.793855846,0.609449804,0.376709014,0.031837862,1.832384109,Asia,2020,1.347519517,36
Argentina,5.974699974,1.028465629,0.0,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,South-America,2020,1.372543693,42
Honduras,5.953199863,0.598763585,0.0,0.791989982,0.568148077,0.256528199,0.086807102,2.464295387,South-America,2020,1.186664104,24
Latvia,5.949999809,1.14139545,0.0,0.777902424,0.329198807,0.075407945,0.090391524,2.121283054,Europe,2020,1.414398789,57
Ecuador,5.925199986,0.853383601,0.0,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834,South-America,2020,1.221027613,39
Portugal,5.910900116,1.168800831,0.0,0.979315281,0.589895189,0.053036947,0.027733466,1.752558708,Europe,2020,1.339530349,61
Jamaica,5.889800072,0.779058397,0.0,0.788434088,0.553124607,0.116268493,0.030147785,2.214436531,South-America,2020,1.408289194,44
Japan,5.870800018,1.26672411,0.0,1.072881341,0.495465875,0.03571178,0.181439638,1.486200333,Asia,2020,1.332338691,74
Peru,5.796800137,0.91854918,0.0,0.824444175,0.513210058,0.091611817,0.02703266,2.213499546,South-America,2020,1.208405972,38
Serbia,5.77820015,0.988181829,0.0,0.828403294,0.395428419,0.15028289,0.059447147,2.029040098,Europe,2020,1.327448964,38
Bolivia,5.747499943,0.730976343,0.0,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,South-America,2020,1.142350554,31
Pakistan,5.69329977,0.616799474,0.0,0.469933242,0.405421734,0.228705063,0.122592121,2.976876736,Asia,2020,0.872979581,31
Paraguay,5.692100048,0.897990823,0.0,0.735869646,0.586510062,0.204299241,0.065077379,1.83412528,South-America,2020,1.36819756,28
Dominican Republic,5.689199924,0.983191848,0.0,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,South-America,2020,1.328888893,28
Bosnia and Herzegovina,5.674099922,0.91839546,0.0,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,Europe,2020,1.203986526,35
Moldova,5.607500076,0.707916796,0.0,0.713299453,0.389571488,0.174049184,0.014378744,2.370968342,Europe,2020,1.237312198,34
Tajikistan,5.555699825,0.474874616,0.0,0.680594802,0.521141171,0.182417125,0.221779913,2.25650835,Asia,2020,1.218377709,25
Montenegro,5.54610014,1.010150075,0.0,0.839028895,0.303223848,0.14901033,0.098435111,1.880565882,Europe,2020,1.265657902,45
Russia,5.546000004,1.126999617,0.0,0.68044591,0.399499595,0.099041916,0.045699362,1.815716743,Europe,2020,1.378644109,30
Kyrgyzstan,5.541500092,0.513180971,0.0,0.680645883,0.614617765,0.30137074,0.030466691,2.060206652,Asia,2020,1.341036677,31
Belarus,5.539899826,1.018854499,0.0,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911,Europe,2020,1.38713932,47
Greece,5.514999866,1.128070116,0.0,0.979431748,0.173516348,0.0,0.048844352,2.016179085,Europe,2020,1.168973565,50
Croatia,5.504700184,1.109024286,0.0,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205,Europe,2020,1.311264873,47
Libya,5.488800049,1.021913767,0.0,0.615626633,0.451354057,0.142757699,0.172258079,1.888563156,Africa,2020,1.196283698,17
Mongolia,5.456200123,0.904872775,0.0,0.615788162,0.355703115,0.263885736,0.046533126,1.810527563,Asia,2020,1.458930612,35
Malaysia,5.384300232,1.168421626,0.0,0.788511872,0.596941531,0.274886161,0.062163133,1.319420815,Asia,2020,1.17400229,51
Vietnam,5.353499889,0.718092382,0.0,0.819133997,0.650835574,0.136488721,0.089848459,1.685977936,Asia,2020,1.253074765,36
Indonesia,5.285600185,0.891720712,0.0,0.610437036,0.568161428,0.542646527,0.038278613,1.479573488,Asia,2020,1.154800892,37
Benin,5.21600008,0.366244704,0.0,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727,Africa,2020,0.352428436,41
Azerbaijan,5.164800167,0.990272701,0.0,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971,Asia,2020,1.180613041,30
Ghana,5.147999763,0.575862467,0.0,0.432162255,0.477290064,0.261291206,0.056570381,2.378437281,Africa,2020,0.96636796,43
Nepal,5.137199879,0.444050372,0.0,0.66887939,0.480608255,0.300971806,0.127502963,2.014386892,Asia,2020,1.100789309,33
Turkey,5.131800175,1.127169251,0.0,0.781335294,0.25440076,0.085885569,0.120983243,1.564816713,Asia,2020,1.197159171,40
China,5.123899937,0.990533412,0.0,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879,Asia,2020,1.132080674,42
Turkmenistan,5.119100094,1.008963585,0.0,0.612448037,0.515236676,0.323129326,0.03350389,1.115337372,Asia,2020,1.510476947,19
Bulgaria,5.101500034,1.046554685,0.0,0.777776897,0.417820066,0.103833713,0.0,1.294961452,Europe,2020,1.460578918,44
Morocco,5.094799995,0.75862211,0.0,0.745096922,0.450054139,0.040032551,0.077385604,2.378402472,Africa,2020,0.645208478,40
Cameroon,5.084899902,0.503958046,0.0,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842,Africa,2020,0.89972645,25
Venezuela,5.053199768,0.770238638,0.0,0.76702553,0.271717221,0.087179154,0.063624777,1.74484086,South-America,2020,1.348546863,15
Algeria,5.005099773,0.943856001,0.0,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729,Africa,2020,1.143003583,36
Senegal,4.980800152,0.504061818,0.0,0.518391907,0.352400899,0.164397135,0.081865937,2.405123949,Africa,2020,0.95459342,45
Guinea,4.949299812,0.390007734,0.0,0.333655238,0.371878058,0.249490842,0.112204559,2.740729809,South-America,2020,0.75136596,28
Niger,4.909599781,0.108330332,0.0,0.298816353,0.435311615,0.208176896,0.137554765,3.017630577,Africa,2020,0.703800142,32
Albania,4.882699966,0.906653047,0.0,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036,Europe,2020,0.830483913,36
Cambodia,4.848400116,0.544634938,0.0,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037,Asia,2020,1.071426034,21
Bangladesh,4.832799911,0.556156278,0.0,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898,Asia,2020,0.868800581,26
Gabon,4.829299927,0.988044381,0.0,0.522574842,0.369459897,0.052013602,0.055804539,1.735027552,Africa,2020,1.10639751,30
South Africa,4.814099789,0.902140439,0.0,0.407034069,0.43478182,0.126406848,0.05950214,1.625117302,Africa,2020,1.259086251,44
Iraq,4.784800053,0.982018709,0.0,0.529350698,0.283588052,0.153002068,0.073164992,1.752173662,Asia,2020,1.011466622,21
Lebanon,4.771500111,0.889232516,0.0,0.788671136,0.18551667,0.158524141,0.021518147,1.53554225,Asia,2020,1.19249332,25
Burkina Faso,4.768700123,0.302467644,0.0,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418,Africa,2020,0.9293859,40
Mali,4.729300022,0.352462649,0.0,0.234981522,0.377534449,0.16966705,0.062146276,2.559335232,Africa,2020,0.97314173,30
Nigeria,4.724100113,0.645901859,0.0,0.167835936,0.435079455,0.221328124,0.047589935,2.219635487,Africa,2020,0.986717939,25
Armenia,4.676799774,0.808262408,0.0,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583,Asia,2020,1.034576893,49
Georgia,4.672599792,0.847198069,0.0,0.694657624,0.485494107,0.047609735,0.174088076,1.69239831,Asia,2020,0.7311939,56
Iran,4.672399998,1.029322505,0.0,0.749053836,0.301195472,0.27697894,0.142651513,1.286969423,Asia,2020,0.886271179,25
Jordan,4.633399963,0.785179198,0.0,0.777624726,0.424855083,0.091494769,0.151878625,1.262258053,Asia,2020,1.140118599,49
Kenya,4.583000183,0.476413399,0.0,0.536312759,0.519180536,0.393902093,0.067201078,1.684904575,Africa,2020,0.905077755,31
Ukraine,4.56069994,0.780434608,0.0,0.698674381,0.319423705,0.178551316,0.00965116,1.252669334,Europe,2020,1.321316481,33
Liberia,4.557899952,0.174103007,0.0,0.392284274,0.405943096,0.226967871,0.051139876,2.386757851,Africa,2020,0.920733929,28
Uganda,4.43200016,0.312337428,0.0,0.378311664,0.401682556,0.264807373,0.063818842,1.958671093,Africa,2020,1.052327394,27
Chad,4.422699928,0.302287489,0.0,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651,Africa,2020,0.739118278,21
Tunisia,4.392199993,0.874742687,0.0,0.781156719,0.235860556,0.055881143,0.043899573,1.528496742,Africa,2020,0.872167706,44
Mauritania,4.374599934,0.539684892,0.0,0.425184816,0.185714483,0.128899664,0.122257635,1.85955739,Africa,2020,1.113323569,29
Sri Lanka,4.327000141,0.897986948,0.0,0.792036712,0.528632462,0.252666146,0.049444564,0.611288548,Asia,2020,1.19494009,38
Myanmar,4.308000088,0.67809093,0.0,0.495443076,0.597478867,0.569813728,0.187530354,0.681462526,Asia,2020,1.098178267,28
Togo,4.187200069,0.268116266,0.0,0.342731178,0.303539038,0.200774252,0.114826456,2.409595251,Africa,2020,0.547622859,29
Ethiopia,4.186200142,0.315125644,0.0,0.483846247,0.41256687,0.227698103,0.117437035,1.628459215,Africa,2020,1.001103282,38
Madagascar,4.165599823,0.244553208,0.0,0.500617027,0.192967549,0.191190064,0.076248638,2.136298418,Africa,2020,0.823694348,25
Egypt,4.151400089,0.875228941,0.0,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245,Africa,2020,0.982539535,33
Sierra Leone,3.926399946,0.240560383,0.0,0.203953966,0.382027686,0.257647008,0.047940936,2.046271801,Africa,2020,0.747984946,33
Burundi,3.775300026,0.0,0.0,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378,Africa,2020,0.403575271,19
Zambia,3.759399891,0.536833763,0.0,0.36359334,0.49131754,0.250620902,0.086705238,1.134339333,Africa,2020,0.896037281,33
Haiti,3.720799923,0.284734428,0.0,0.37436673,0.169297516,0.463909656,0.161935672,1.619916916,South-America,2020,0.646671355,18
India,3.573299885,0.730576158,0.0,0.54057014,0.581142247,0.237072483,0.105587982,0.734130859,Asia,2020,0.644198656,40
Malawi,3.538000107,0.176534727,0.0,0.446163297,0.487389833,0.213185057,0.131633952,1.552718282,Africa,2020,0.53036809,30
Yemen,3.527400017,0.392701775,0.0,0.41500017,0.243721485,0.094689012,0.087352127,1.116472721,Asia,2020,1.177477121,15
Botswana,3.478899956,0.997548997,0.0,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,Africa,2020,1.08569479,60
Tanzania,3.476200104,0.457163125,0.0,0.442677855,0.509343088,0.27154091,0.203880861,0.718963385,Africa,2020,0.872674644,38
Rwanda,3.312299967,0.343242675,0.0,0.572383285,0.604087889,0.235704988,0.485542476,0.548444986,Africa,2020,0.522876322,54
Zimbabwe,3.299200058,0.425564021,0.0,0.375037611,0.37740472,0.151349187,0.080928579,0.841031075,Africa,2020,1.047835231,24
Afghanistan,2.566900015,0.30070585,0.0,0.266051531,0.0,0.135234714,0.001225785,1.507235646,Asia,2020,0.356433839,19
